分类: 📺央视频道, 名称: CCTV-1, 总数: 236, 有效率: 5.08%, 有效: 12, IPv4: 236, IPv6: 0, 最小延迟: 25 ms, 最高速率: 29.57 MiB/s, 平均速率: 7.53 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 26.47, 视频编解码器: h264, 音频编解码器: mp2
分类: 📺央视频道, 名称: CCTV-2, 总数: 186, 有效率: 6.45%, 有效: 12, IPv4: 186, IPv6: 0, 最小延迟: 21 ms, 最高速率: 27.55 MiB/s, 平均速率: 13.72 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: mp2
分类: 📺央视频道, 名称: CCTV-3, 总数: 177, 有效率: 5.65%, 有效: 10, IPv4: 177, IPv6: 0, 最小延迟: 21 ms, 最高速率: 18.57 MiB/s, 平均速率: 10.97 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: mp2
分类: 📺央视频道, 名称: CCTV-4, 总数: 193, 有效率: 6.74%, 有效: 13, IPv4: 193, IPv6: 0, 最小延迟: 21 ms, 最高速率: 18.74 MiB/s, 平均速率: 10.69 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 26.56, 视频编解码器: h264, 音频编解码器: mp2
分类: 📺央视频道, 名称: CCTV-5, 总数: 211, 有效率: 4.27%, 有效: 9, IPv4: 211, IPv6: 0, 最小延迟: 21 ms, 最高速率: 31.31 MiB/s, 平均速率: 6.92 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-5+, 总数: 143, 有效率: 4.20%, 有效: 6, IPv4: 143, IPv6: 0, 最小延迟: 36 ms, 最高速率: 6.72 MiB/s, 平均速率: 2.72 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 30.0, 视频编解码器: h264, 音频编解码器: mp2
分类: 📺央视频道, 名称: CCTV-6, 总数: 182, 有效率: 6.59%, 有效: 12, IPv4: 182, IPv6: 0, 最小延迟: 25 ms, 最高速率: 22.71 MiB/s, 平均速率: 9.78 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-7, 总数: 171, 有效率: 5.85%, 有效: 10, IPv4: 171, IPv6: 0, 最小延迟: 32 ms, 最高速率: 15.35 MiB/s, 平均速率: 9.74 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 29.17, 视频编解码器: h264, 音频编解码器: mp2
分类: 📺央视频道, 名称: CCTV-8, 总数: 182, 有效率: 8.24%, 有效: 15, IPv4: 182, IPv6: 0, 最小延迟: 25 ms, 最高速率: 27.97 MiB/s, 平均速率: 8.24 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-9, 总数: 183, 有效率: 6.56%, 有效: 12, IPv4: 183, IPv6: 0, 最小延迟: 30 ms, 最高速率: 13.99 MiB/s, 平均速率: 7.82 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: mp2
分类: 📺央视频道, 名称: CCTV-10, 总数: 180, 有效率: 7.22%, 有效: 13, IPv4: 180, IPv6: 0, 最小延迟: 32 ms, 最高速率: 12.41 MiB/s, 平均速率: 5.39 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 27.08, 视频编解码器: h264, 音频编解码器: mp2
分类: 📺央视频道, 名称: CCTV-11, 总数: 163, 有效率: 6.13%, 有效: 10, IPv4: 163, IPv6: 0, 最小延迟: 30 ms, 最高速率: 16.59 MiB/s, 平均速率: 9.34 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: mp2
分类: 📺央视频道, 名称: CCTV-12, 总数: 185, 有效率: 5.95%, 有效: 11, IPv4: 185, IPv6: 0, 最小延迟: 21 ms, 最高速率: 35.76 MiB/s, 平均速率: 8.22 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 26.92, 视频编解码器: h264, 音频编解码器: mp2
分类: 📺央视频道, 名称: CCTV-13, 总数: 183, 有效率: 6.56%, 有效: 12, IPv4: 183, IPv6: 0, 最小延迟: 21 ms, 最高速率: 32.82 MiB/s, 平均速率: 6.03 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 28.12, 视频编解码器: h264, 音频编解码器: mp2
分类: 📺央视频道, 名称: CCTV-14, 总数: 179, 有效率: 6.70%, 有效: 12, IPv4: 179, IPv6: 0, 最小延迟: 23 ms, 最高速率: 26.47 MiB/s, 平均速率: 11.85 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 27.5, 视频编解码器: h264, 音频编解码器: mp2
分类: 📺央视频道, 名称: CCTV-15, 总数: 159, 有效率: 6.29%, 有效: 10, IPv4: 159, IPv6: 0, 最小延迟: 22 ms, 最高速率: 38.36 MiB/s, 平均速率: 24.17 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 27.5, 视频编解码器: h264, 音频编解码器: mp2
分类: 📺央视频道, 名称: CCTV-16, 总数: 102, 有效率: 3.92%, 有效: 4, IPv4: 102, IPv6: 0, 最小延迟: 34 ms, 最高速率: 11.77 MiB/s, 平均速率: 7.18 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: mp2
分类: 📺央视频道, 名称: CCTV-17, 总数: 95, 有效率: 8.42%, 有效: 8, IPv4: 95, IPv6: 0, 最小延迟: 29 ms, 最高速率: 11.89 MiB/s, 平均速率: 6.30 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 30.83, 视频编解码器: h264, 音频编解码器: mp2
分类: 📺央视频道, 名称: CCTV-4K, 总数: 38, 有效率: 2.63%, 有效: 1, IPv4: 38, IPv6: 0, 最小延迟: 36 ms, 最高速率: 10.99 MiB/s, 平均速率: 10.99 MiB/s, 最高分辨率: 3840x2160, 平均帧率: 37.5, 视频编解码器: hevc, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-8K, 总数: 2, 有效率: 50.00%, 有效: 1, IPv4: 2, IPv6: 0, 最小延迟: 25 ms, 最高速率: 35.26 MiB/s, 平均速率: 35.26 MiB/s, 最高分辨率: 1280x720, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 五星体育, 总数: 8, 有效率: 12.50%, 有效: 1, IPv4: 8, IPv6: 0, 最小延迟: 32 ms, 最高速率: 14.84 MiB/s, 平均速率: 14.84 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 金鹰卡通, 总数: 82, 有效率: 2.44%, 有效: 2, IPv4: 82, IPv6: 0, 最小延迟: 304 ms, 最高速率: 0.59 MiB/s, 平均速率: 0.56 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 27.08, 视频编解码器: h264, 音频编解码器: mp2
