#This file is automatically generated by https://freetv.fun and is mainly used to test the accuracy of our EPG.
#The following test channels are from public sharing on the Internet.
#freetv.fun does not provide or store any streaming media content.All channels are automatically collected from the network through crawlers, without any manual participation, just for testing purposes. Therefore, we do not guarantee the stability and legality of the channels, nor do we assume corresponding legal responsibilities. All legal responsibilities It should be the responsibility of the user and the source provider.
#If you don't know how to use it, or don't have time to test it, you can download this recommended app for testing.
#https://freetv.fun/app
#Generated on: 2026-05-06 01:00:02 UTC


#這個檔案是由https://freetv.fun自動生成的,僅僅只是用於測試epg的準確性.
#以下的測試頻道均為網路上的公開分享頻道.
#freetv.fun並不提供也不儲存任何的流媒體內容.所有的頻道都是由自動化系統通過網路自動收集而來,並沒有任何人工參與,僅僅只是為了測試.因此我們並不保證頻道的穩定性與合法性,我們也不承擔任何相關的法律責任.所有的法律責任與相關後果應由頻道的使用者與提供者自行承擔.
#如果您不知道如何使用這個檔案,或者並沒有時間進行測試,那麼您可以下載我們推薦的APP來進行測試.
#下載地址為https://freetv.fun/app
#生成時間: 2026-05-06 01:00:02 UTC


綜藝,#genre#
C+頻道,https://t.freetv.fun/live/icc-plus.m3u8
C+頻道,https://t.freetv.fun/live/c-plus.m3u8
C+頻道[geo-blocked],https://t.freetv.fun/live/fifa-plus-united-states.m3u8
C+頻道[geo-blocked],https://t.freetv.fun/live/fifa-plus-women.m3u8
C+頻道[geo-blocked],https://t.freetv.fun/live/society-plus.m3u8
C+頻道[geo-blocked],https://t.freetv.fun/live/fifa-plus-portuguese.m3u8
C+頻道,https://t.freetv.fun/live/enisei-plus-4-1.m3u8
C+頻道,https://t.freetv.fun/live/robot-wars-by-mech-plus.m3u8
C+頻道,https://t.freetv.fun/live/viutv6-plus.m3u8
C+頻道,https://t.freetv.fun/live/victory-plus.m3u8
C+頻道,https://t.freetv.fun/live/in-touch-plus-1.m3u8
C+頻道,https://t.freetv.fun/live/in-touch-plus-2.m3u8
C+頻道,https://t.freetv.fun/live/drive-plus-speed.m3u8
C+頻道[geo-blocked],https://t.freetv.fun/live/retro-plus-2.m3u8
C+頻道,https://t.freetv.fun/live/mgm-plus-west.m3u8
C+頻道,https://t.freetv.fun/live/mgm-plus-drive.m3u8
C+頻道,https://t.freetv.fun/live/ch-ng-x-plus-milf.m3u8
C+頻道,https://t.freetv.fun/live/samachar-plus.m3u8
C+頻道[geo-blocked],https://t.freetv.fun/live/rally-tv-fast-plus.m3u8
KIX[HK],https://t.freetv.fun/live/kix.m3u8
KIX[HK],https://t.freetv.fun/live/kix-vt.m3u8
RTHK31,https://t.freetv.fun/live/rthk-31.m3u8
TVB Plus,https://t.freetv.fun/live/atv-plus.m3u8
TVB Plus,https://t.freetv.fun/live/tvb-plus-1.m3u8
TVB Plus,https://t.freetv.fun/live/tvb-plus-2.m3u8
TVB Plus,https://t.freetv.fun/live/tvb-plus-5.m3u8
TVB Plus,https://t.freetv.fun/live/etv-plus-1.m3u8
TVB Plus,https://t.freetv.fun/live/tvb-pluschao-qing.m3u8
TVB Plus,https://t.freetv.fun/live/tv1-plus.m3u8
ViuTV HD,https://t.freetv.fun/live/viutv.m3u8
ViuTV HD,https://t.freetv.fun/live/viutv-1.m3u8
ViuTV HD,https://t.freetv.fun/live/viutvgao-qing.m3u8
ViuTV HD,https://t.freetv.fun/live/viutv6gao-qing.m3u8
ViuTV HD,https://t.freetv.fun/live/viutv-plus.m3u8
