#This file is automatically generated by https://freetv.fun and is mainly used to test the accuracy of our EPG.
#The following test channels are from public sharing on the Internet.
#freetv.fun does not provide or store any streaming media content.All channels are automatically collected from the network through crawlers, without any manual participation, just for testing purposes. Therefore, we do not guarantee the stability and legality of the channels, nor do we assume corresponding legal responsibilities. All legal responsibilities It should be the responsibility of the user and the source provider.
#If you don't know how to use it, or don't have time to test it, you can download this recommended app for testing.
#https://freetv.fun/app
#Generated on: 2026-05-05 11:00:02 UTC


#這個檔案是由https://freetv.fun自動生成的,僅僅只是用於測試epg的準確性.
#以下的測試頻道均為網路上的公開分享頻道.
#freetv.fun並不提供也不儲存任何的流媒體內容.所有的頻道都是由自動化系統通過網路自動收集而來,並沒有任何人工參與,僅僅只是為了測試.因此我們並不保證頻道的穩定性與合法性,我們也不承擔任何相關的法律責任.所有的法律責任與相關後果應由頻道的使用者與提供者自行承擔.
#如果您不知道如何使用這個檔案,或者並沒有時間進行測試,那麼您可以下載我們推薦的APP來進行測試.
#下載地址為https://freetv.fun/app
#生成時間: 2026-05-05 11:00:02 UTC


Generic,#genre#
NHK World FHD,https://t.freetv.fun/live/nhk-world.m3u8
NHK World FHD,https://t.freetv.fun/live/nhk-world-1.m3u8
NHK World FHD,https://t.freetv.fun/live/ch-ng-nhk-world-tv.m3u8
NHK World Japan,https://t.freetv.fun/live/nhk-world-japan.m3u8
NHK World Japan[geo-blocked],https://t.freetv.fun/live/nhk-world-japan-1.m3u8
Star 1,https://t.freetv.fun/live/star-sports-1-1.m3u8
TOKYO MX,https://t.freetv.fun/live/tokyo-mx-chiyanneru.m3u8
Kids,#genre#
Animax HD,https://t.freetv.fun/live/animax.m3u8
Animax HD,https://t.freetv.fun/live/animax-1.m3u8
Movies,#genre#
Movie Plus[geo-blocked],https://t.freetv.fun/live/the-movie-club-plus-2.m3u8
STAR CHANNEL 2,https://t.freetv.fun/live/star-channel-1.m3u8
STAR CHANNEL 2,https://t.freetv.fun/live/star-channel-2.m3u8
U-NEXT,https://t.freetv.fun/live/naruto-next-generations.m3u8
U-NEXT,https://t.freetv.fun/live/naruto-next-generations-1.m3u8
dTV(Japan),https://t.freetv.fun/live/dtv-1.m3u8
哆啦A夢專輯[geo-blocked],https://t.freetv.fun/live/chi-la-ameng.flv
News,#genre#
ANN News FHD,https://t.freetv.fun/live/ann-news.m3u8
Gunma TV,https://t.freetv.fun/live/uma-tv.m3u8
NTV News 24,https://t.freetv.fun/live/news-24-2.m3u8
Other,#genre#
CGNTv (Japan),https://t.freetv.fun/live/cgntv-japan-1.m3u8
Jupiter Shop Channel,https://t.freetv.fun/live/ch-ng-jupiter-shop-channel.m3u8
Lala TV,https://t.freetv.fun/live/alawla-tv-1.m3u8
Toei Channel,https://t.freetv.fun/live/tennis-channel-2.m3u8
Toei Channel,https://t.freetv.fun/live/tennis-channel-3.m3u8
Toei Channel,https://t.freetv.fun/live/tennis-channel-4.m3u8
Toei Channel,https://t.freetv.fun/live/tennis-channel-5.m3u8
Toei Channel,https://t.freetv.fun/live/tennis-channel-7.m3u8
Sports,#genre#
GOLF NETWORK,https://t.freetv.fun/live/network-10.m3u8
J SPORTS 1,https://t.freetv.fun/live/ert-sports-1.2ts
