#This file is automatically generated by https://freetv.fun and is mainly used to test the accuracy of our EPG.
#The following test channels are from public sharing on the Internet.
#freetv.fun does not provide or store any streaming media content.All channels are automatically collected from the network through crawlers, without any manual participation, just for testing purposes. Therefore, we do not guarantee the stability and legality of the channels, nor do we assume corresponding legal responsibilities. All legal responsibilities It should be the responsibility of the user and the source provider.
#If you don't know how to use it, or don't have time to test it, you can download this recommended app for testing.
#https://freetv.fun/app
#Generated on: 2026-05-05 11:00:02 UTC


#這個檔案是由https://freetv.fun自動生成的,僅僅只是用於測試epg的準確性.
#以下的測試頻道均為網路上的公開分享頻道.
#freetv.fun並不提供也不儲存任何的流媒體內容.所有的頻道都是由自動化系統通過網路自動收集而來,並沒有任何人工參與,僅僅只是為了測試.因此我們並不保證頻道的穩定性與合法性,我們也不承擔任何相關的法律責任.所有的法律責任與相關後果應由頻道的使用者與提供者自行承擔.
#如果您不知道如何使用這個檔案,或者並沒有時間進行測試,那麼您可以下載我們推薦的APP來進行測試.
#下載地址為https://freetv.fun/app
#生成時間: 2026-05-05 11:00:02 UTC


綜藝,#genre#
CMusic,https://t.freetv.fun/live/qmusic-1.m3u8
Lifetime(TW),https://t.freetv.fun/live/lifetime-movies.m3u8
Lifetime(TW),https://t.freetv.fun/live/ch-ng-lifetime.m3u8
ROCK Entertainment[geo-blocked],https://t.freetv.fun/live/rock-entertainment-z.ts
民視綜藝臺[geo-blocked],https://t.freetv.fun/live/min-shi-zong-yi.php
緯來日本[geo-blocked],rtmp://f13h.mine.nu/sat/tv771
緯來日本[geo-blocked],https://t.freetv.fun/live/wei-lai-ri-ben-ee.php
金光布袋戲,https://t.freetv.fun/live/jin-guang-bu-dai-xi-1.m3u8
綜合,#genre#
MOMO綜合臺[geo-blocked],rtmp://f13h.mine.nu:1935/sat/tv761
MOMO綜合臺[geo-blocked],rtmp://f13h.mine.nu/sat/tv761
Rollor TV,https://t.freetv.fun/live/tvr-folclor.m3u8
TVBS Asia,https://t.freetv.fun/live/tvbs-asia.m3u8
TVBS Asia[geo-blocked],https://t.freetv.fun/live/tvbsya-zhou-28.m3u8
UDN TV,https://t.freetv.fun/live/tudn.m3u8
UDN TV,https://t.freetv.fun/live/tudn-1.php
rollor,https://t.freetv.fun/live/roll.m3u8
中視[geo-blocked],rtmp://f13h.mine.nu/sat/tv091
中視HD,https://t.freetv.fun/live/zhong-shi-2.m3u8
中視HD[geo-blocked],https://t.freetv.fun/live/zhong-shi-3.m3u8
中視HD,https://t.freetv.fun/live/zhong-shi-5.ts
中視HD,https://t.freetv.fun/live/zhong-shi-28.m3u8
中視HD,https://t.freetv.fun/live/zhong-shi-a.m3u8
中視HD,https://t.freetv.fun/live/zhong-shi-1.php
中視經典,https://t.freetv.fun/live/zhong-shi-jing-dian.m3u8
中視經典,https://t.freetv.fun/live/zhong-shi-jing-dian-q.m3u8
中視菁采臺[geo-blocked],https://t.freetv.fun/live/zhong-shi-jing-cai.m3u8
中視菁采臺[geo-blocked],https://t.freetv.fun/live/zhong-shi-jing-cai-a.m3u8
八大精彩,https://t.freetv.fun/live/ba-da-jing-cai.php
八大綜藝,https://t.freetv.fun/live/ba-da-zong-yi.php
公視,https://t.freetv.fun/live/gong-shi-28.m3u8
公視,https://t.freetv.fun/live/gong-shi-a.m3u8
公視HD,https://t.freetv.fun/live/gong-shi.m3u8
公視HD,https://t.freetv.fun/live/gong-shi-2.ts
公視HD,https://t.freetv.fun/live/xiao-gong-shi.m3u8
公視臺語臺,https://t.freetv.fun/live/gong-shi-tai-yu.m3u8
公視臺語臺,https://t.freetv.fun/live/gong-shi-tai-yu-a.m3u8
台視HD[geo-blocked],rtmp://f13h.mine.nu/sat/tv071
台視HD,https://t.freetv.fun/live/tai-shi-1-1.m3u8
台視HD,https://t.freetv.fun/live/tai-shi-2.ts
台視HD[geo-blocked],rtmp://f13h.mine.nu:1935/sat/tv071
台視HD,https://t.freetv.fun/live/tai-shi-28.ts
台視HD,https://t.freetv.fun/live/tai-shi-a.m3u8
國會頻道1,https://t.freetv.fun/live/guo-hui-1.php
國會頻道2,https://t.freetv.fun/live/guo-hui-2.php
客家電視,https://t.freetv.fun/live/ke-jia-dian-shi.php
東森綜合[geo-blocked],https://t.freetv.fun/live/dong-sen-zong-he-2.php
東森綜合,https://t.freetv.fun/live/dong-sen-zong-he-2-1.m3u8
東森美洲,https://t.freetv.fun/live/dong-sen-mei-zhou-2.m3u8
東森美洲,https://t.freetv.fun/live/dong-sen-mei-zhou.m3u8
東森美洲,https://t.freetv.fun/live/dong-sen-mei-zhou-1.m3u8
東森美洲,https://t.freetv.fun/live/dong-sen-mei-zhou-1-1.m3u8
